REF_DATE,cpi_trim_mom,cpi_trim_mom_saar,cpi_trim_mm3_mom,cpi_trim_mm3_saar,cpi_trim_yoy,cpi_trim_mom_pct,cpi_trim_mom_saar_pct,cpi_trim_mm3_saar_pct,cpi_trim_yoy_pct
1968-07-01,0.0047928736113121906,0.0590550966657426,0.006189989366149204,0.07686163886694297,0.09415258268532622,0.47928736113121906,5.90550966657426,7.686163886694297,9.415258268532622
1968-08-01,0.00570400707574499,0.07063679814529511,0.0058987795214539345,0.07312762420154728,0.0920084674507109,0.570400707574499,7.063679814529511,7.312762420154728,9.20084674507109
1968-09-01,0.01698465855346487,0.2239757642118716,0.009160513080174017,0.11563719922876903,0.1036122007942113,1.698465855346487,22.39757642118716,11.563719922876903,10.36122007942113
1968-10-01,0.008035248634775206,0.1008005139205781,0.010241304754661689,0.13005987154937393,0.10614934659067221,0.8035248634775206,10.08005139205781,13.005987154937394,10.61493465906722
1968-11-01,0.005950094503563536,0.07378474373626442,0.010323333897267873,0.1311614608518077,0.105923073138394,0.5950094503563536,7.378474373626442,13.11614608518077,10.592307313839399
1968-12-01,0.004661079981306919,0.057389367480308984,0.006215474373215221,0.07718898439998179,0.10111861223398422,0.46610799813069187,5.738936748030898,7.718898439998179,10.11186122339842
1969-01-01,0.012790564153334025,0.16475815039764474,0.007800579546068161,0.09772927186304448,0.09636716751489405,1.2790564153334025,16.475815039764473,9.772927186304447,9.636716751489406
1969-02-01,0.008404491598834694,0.10564894824377657,0.008618711911158547,0.10847078488843831,0.0982909616558072,0.8404491598834694,10.564894824377657,10.847078488843831,9.829096165580719
1969-03-01,0.006720993839003472,0.08370107490070011,0.009305349863724065,0.11756013909752494,0.09712683524775878,0.6720993839003473,8.370107490070012,11.756013909752493,9.712683524775878
1969-04-01,0.01060341269309373,0.13493012960072992,0.008576299376977299,0.10791157832547493,0.10290962136906923,1.060341269309373,13.493012960072992,10.791157832547494,10.290962136906924
1969-05-01,0.007455062751320319,0.09322160000580104,0.008259823094472507,0.10374701585610357,0.10387101937583276,0.7455062751320318,9.322160000580105,10.374701585610357,10.387101937583276
1969-06-01,0.006451309850194452,0.0802225347859622,0.008169928431536168,0.10256669717477984,0.10305106368694572,0.6451309850194452,8.02225347859622,10.256669717477983,10.305106368694572
1969-07-01,0.008604158238752558,0.1082788664923342,0.0075035102800891105,0.09385263038147884,0.10723505192245386,0.8604158238752558,10.82788664923342,9.385263038147883,10.723505192245387
1969-08-01,0.007084296792642974,0.08840340089677712,0.007379921627196663,0.09224354494058318,0.10875468905783836,0.7084296792642975,8.840340089677712,9.224354494058318,10.875468905783837
1969-09-01,0.007558832930470348,0.09457361771728023,0.007749095987288628,0.09705653003962178,0.09847830163169746,0.7558832930470348,9.457361771728024,9.705653003962178,9.847830163169746
1969-10-01,0.00939404186226552,0.11873916656829908,0.008012390528459616,0.10050101156944491,0.09995900865937735,0.939404186226552,11.873916656829909,10.050101156944491,9.995900865937735
1969-11-01,0.011902036342737435,0.15255494544808834,0.009618303711824434,0.12172548085001722,0.10646717649075166,1.1902036342737434,15.255494544808833,12.172548085001722,10.646717649075166
1969-12-01,0.008305863708537966,0.10435197843235078,0.009867313971180307,0.12504990987731301,0.1104812999000746,0.8305863708537966,10.435197843235077,12.5049909877313,11.04812999000746
1970-01-01,0.009459111430681183,0.11960489416942721,0.009889003827318861,0.12533990900678726,0.10682850525432319,0.9459111430681183,11.960489416942721,12.533990900678727,10.682850525432318
1970-02-01,0.005711565068719617,0.07073335378965373,0.007825513402646258,0.0980552214551369,0.10387273911988104,0.5711565068719617,7.073335378965373,9.80552214551369,10.387273911988103
1970-03-01,0.011195718191289856,0.14293797724715285,0.008788798230230219,0.11071596247644644,0.10877928845956286,1.1195718191289856,14.293797724715285,11.071596247644644,10.877928845956287
1970-04-01,0.006913114552897175,0.08618541876200525,0.007940132604302217,0.09955473064623588,0.10473049335883466,0.6913114552897175,8.618541876200524,9.955473064623588,10.473049335883466
1970-05-01,0.007711437991911115,0.09656468785318917,0.008606756912032715,0.10831313280543675,0.10501162306525536,0.7711437991911114,9.656468785318918,10.831313280543675,10.501162306525536
1970-06-01,0.006685876387898254,0.08324752895329235,0.0071034763109021825,0.08865216545009047,0.10526916036289524,0.6685876387898254,8.324752895329235,8.865216545009048,10.526916036289524
1970-07-01,0.008572202009904106,0.10785756850198824,0.007656505463237827,0.09584758954019135,0.10523414143704679,0.8572202009904106,10.785756850198824,9.584758954019135,10.523414143704679
1970-08-01,0.0061946878827402125,0.07692198272579476,0.007150922093514193,0.0892677765474581,0.10425783176477532,0.6194687882740213,7.692198272579476,8.926777654745809,10.425783176477532
